color,count
5a4e3e,4
645848,4
605444,3
635646,5
524535,4
4f3d2f,32
4c3a2c,28
4d3f32,13
5d4835,12
57402e,18
533a26,8
6a513d,15
6e5541,18
503625,18
432c1c,14
4d3626,22
533d2f,49
5c4639,110
564033,86
4f3924,8
5a442f,7
483320,6
47321f,7
584330,8
402f1d,2
3f2e1e,6
493c2c,5
3e3121,2
513b2d,38
452f21,30
4f3c2e,44
412f21,22
403023,22
4c3b31,29
261c12,13
22180f,67
180f06,20
0c0300,73
110a02,14
241d15,12
0e0604,273
050000,531
070302,788
060709,402
0d0d0d,1057
0c0704,587
120d0a,581
221d1a,297
282320,112
1d1815,456
100b08,668
201b18,368
0d0805,631
140f0c,570
18100e,235
150d0b,260
110907,318
0c0402,217
120a08,301
1e1614,150
1f1715,106
1a1210,222
271f1d,61
38302e,16
3c3432,12
150c07,174
261d18,95
2f2621,32
29201b,64
271e19,82
2b221d,74
19100b,247
1c130e,245
221914,139
231a15,127
1e1510,183
3b322d,40
2a211a,28
2a2017,55
30261d,32
2b1e16,159
32251c,44
2a1a0d,33
4b3d34,23
493b32,35
1e0d03,19
231208,55
190b02,29
1b0d04,50
1e1007,101
1c1004,4
2c2014,21
3b2d22,23
3f2d23,78
2b170e,80
3a2c21,30
211308,24
2a160d,63
261a0e,22
2e1b0c,43
301d0e,43
301d0f,124
2c1a0c,22
291709,24
2d1b0f,136
312114,30
3a281c,59
311f13,133
2a180c,120
412d22,65
3d291e,108
2f1d11,134
574539,35
211006,43
28160a,52
29170b,75
